SHOT_RESULT,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,player_name,player_id
made,21400801,"FEB 19, 2015 - OKC vs. DAL",H,W,15,7,4,180,11.4,0,0.5,2.2,2,"Parsons, Chandler",202718,4.3,nick collison,2555
made,21400261,"DEC 02, 2014 - TOR @ SAC",A,W,8,10,3,270,10.7,4,3.3,16.3,2,"Sessions, Ramon",201196,3.2,kyle lowry,200768
made,21400436,"DEC 26, 2014 - MEM vs. HOU",H,L,-6,1,1,223,9.4,0,0.0,13.8,2,"Shved, Alexey",203144,6.1,beno urdih,2757
missed,21400386,"DEC 19, 2014 - BKN @ CLE",A,L,-4,2,1,474,14.6,0,0.8,23.6,3,"James, LeBron",2544,5.1,joe johnson,2207
made,21400402,"DEC 21, 2014 - LAL @ SAC",A,L,-7,2,4,434,8.2,0,0.9,11.8,2,"Thompson, Jason",201574,5.9,robert sacre,203135
missed,21400446,"DEC 27, 2014 - MIA vs. MEM",H,L,-8,7,2,64,11.4,0,0.7,23.3,3,"Conley, Mike",201144,4.8,norris cole,202708
missed,21400408,"DEC 21, 2014 - NOP @ OKC",A,W,2,2,1,627,14.6,0,0.4,1.6,2,"Ibaka, Serge",201586,2.9,omer asik,201600
missed,21400014,"OCT 29, 2014 - GSW @ SAC",A,W,18,3,1,397,10.5,4,4.2,5.9,2,"Cousins, DeMarcus",202326,2.8,harrison barnes,203084
missed,21400720,"FEB 02, 2015 - LAC @ BKN",A,L,-2,11,3,270,13.9,3,3.3,17.4,2,"Jack, Jarrett",101127,3.2,chris paul,101108
missed,21400706,"JAN 31, 2015 - ORL vs. DAL",H,L,-15,4,3,673,12.6,0,0.8,22.7,3,"Harris, Devin",2734,5.4,tobias harris,202699
