SHOT_RESULT,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,player_name,player_id
made,21400001,"OCT 28, 2014 - NOP vs. ORL",H,W,17,14,3,222,24.0,0,0.0,0.8,2,"Vucevic, Nikola",202696,2.7,ryan anderson,201583
missed,21400738,"FEB 04, 2015 - NOP vs. OKC",H,L,-11,5,4,679,10.5,1,0.8,5.9,2,"Jackson, Reggie",202704,1.8,dante cunningham,201967
missed,21400155,"NOV 18, 2014 - LAL @ ATL",A,W,5,1,1,663,17.0,0,0.8,4.3,2,"Millsap, Paul",200794,1.3,wesley johnson,202325
made,21400269,"DEC 03, 2014 - DAL @ MIL",A,W,2,14,3,474,20.8,5,4.0,5.8,2,"Knight, Brandon",202688,1.9,mnta ellis,101145
missed,21400618,"JAN 19, 2015 - NYK vs. NOP",H,W,7,5,4,564,5.2,5,7.3,12.3,2,"Ajinca, Alexis",201582,5.3,shane larkin,203499
missed,21400746,"FEB 06, 2015 - BKN vs. NYK",H,W,4,6,3,48,16.0,10,8.9,4.6,2,"Stoudemire, Amar'e",2405,1.8,deron williams,101114
made,21400175,"NOV 21, 2014 - TOR vs. MIL",H,W,42,11,2,64,3.0,0,-0.2,23.7,3,"Knight, Brandon",202688,2.4,lou williams,101150
made,21400574,"JAN 14, 2015 - SAS @ CHA",A,W,5,7,2,381,17.0,7,5.4,18.2,2,"Roberts, Brian",203148,3.8,tony parker,2225
missed,21400903,"MAR 04, 2015 - DET @ NOP",A,L,-3,7,2,242,12.9,0,0.8,19.6,2,"Asik, Omer",201600,10.2,andre drummond,203083
missed,21400455,"DEC 28, 2014 - OKC @ DAL",A,L,-5,4,3,691,7.3,2,3.3,3.6,2,"Nowitzki, Dirk",1717,3.3,steve adams,203500
made,21400796,"FEB 11, 2015 - CLE vs. MIA",H,W,20,3,1,447,11.6,15,12.8,3.6,2,"Whiteside, Hassan",202355,1.4,lebron james,2544
missed,21400586,"JAN 15, 2015 - CLE @ LAL",A,W,7,11,3,617,7.4,6,12.3,10.6,2,"Price, Ronnie",101179,1.7,kyrie irving,202681
made,21400391,"DEC 19, 2014 - DEN vs. LAC",H,W,3,7,4,633,14.0,2,3.7,6.3,2,"Davis, Glen",201175,0.0,kenneth faried,202702
missed,21400164,"NOV 19, 2014 - BKN vs. MIL",H,L,-4,5,3,269,15.6,11,9.5,12.4,2,"Mayo, O.J.",201564,1.9,jarrett jack,101127
made,21400118,"NOV 13, 2014 - SAC @ MEM",A,L,-1,5,1,218,20.8,0,0.8,6.1,2,"Udrih, Beno",2757,3.9,rudy gay,200752
missed,21400560,"JAN 11, 2015 - MEM vs. PHX",H,W,12,6,3,398,8.3,0,0.7,17.0,2,"Bledsoe, Eric",202339,3.6,courtney lee,201584
made,21400681,"JAN 28, 2015 - POR @ CLE",A,L,-5,4,2,244,5.3,0,0.8,22.6,3,"Thompson, Tristan",202684,6.2,nicolas batum,201587
missed,21400037,"NOV 01, 2014 - PHX @ UTA",A,L,-27,1,1,488,12.0,0,2.0,23.6,3,"Burke, Trey",203504,3.2,eric bledsoe,202339
made,21400282,"DEC 05, 2014 - SAS @ MEM",A,W,6,3,3,122,17.0,2,5.3,23.3,3,"Lee, Courtney",201584,5.9,manu ginobili,1938
missed,21400343,"DEC 13, 2014 - ORL vs. ATL",H,W,1,2,3,355,12.6,2,3.2,18.0,2,"Teague, Jeff",201952,4.8,elfrid payton,203901
missed,21400400,"DEC 21, 2014 - NYK @ TOR",A,L,-10,1,1,601,11.0,4,5.0,21.3,2,"Johnson, Amir",101161,3.6,jose calderon,101181
missed,21400265,"DEC 03, 2014 - DET @ BOS",A,L,-7,6,3,177,15.3,9,6.9,24.6,3,"Pressey, Phil",203515,5.1,brandon jennings,201943
missed,21400605,"JAN 17, 2015 - WAS @ BKN",A,W,9,1,2,651,13.0,2,4.6,8.3,2,"Lopez, Brook",201572,1.9,kevin seraphin,202338
made,21400654,"JAN 24, 2015 - MEM vs. PHI",H,W,18,5,1,248,23.3,1,1.1,7.6,2,"Drew, Larry",203580,4.3,mike conley,201144
made,21400082,"NOV 08, 2014 - LAC vs. POR",H,W,4,9,3,584,5.2,2,4.3,19.7,2,"Matthews, Wesley",202083,4.4,jamal crawford,2037
made,21400382,"DEC 18, 2014 - OKC @ GSW",A,L,-5,1,1,693,14.6,0,0.7,5.1,2,"Ezeli, Festus",203105,1.1,andre roberson,203460
missed,21400546,"JAN 09, 2015 - DEN @ SAC",A,W,10,3,2,229,11.2,1,1.6,1.1,2,"Gay, Rudy",200752,1.6,kenneth faried,202702
made,21400683,"JAN 28, 2015 - BKN @ ATL",A,L,-11,11,3,628,15.0,4,3.4,11.4,2,"Carroll, DeMarre",201960,2.9,joe johnson,2207
missed,21400063,"NOV 05, 2014 - IND @ WAS",A,L,-2,2,4,571,22.0,1,1.8,24.4,3,"Porter, Otto",203490,7.7,damjan rudez,204014
missed,21400172,"NOV 21, 2014 - CHA vs. ORL",H,L,-5,8,4,664,10.7,6,5.3,9.3,2,"Gordon, Ben",2732,3.0,gary neal,202390
made,21400656,"JAN 24, 2015 - WAS @ POR",A,L,-7,6,2,414,17.0,3,1.7,21.3,2,"Matthews, Wesley",202083,4.3,bradley beal,203078
missed,21400030,"NOV 01, 2014 - MIA @ PHI",A,W,18,2,2,600,14.3,0,1.0,24.6,3,"Noel, Nerlens",203457,8.6,shabazz napier,203894
missed,21400552,"JAN 10, 2015 - IND @ PHI",A,L,-1,2,1,489,19.6,5,5.6,5.1,2,"Carter-Williams, Michael",203487,4.6,solomon hill,203524
missed,21400796,"FEB 11, 2015 - CLE vs. MIA",H,W,20,1,2,457,3.2,0,0.8,24.6,3,"Chalmers, Mario",201596,8.9,matthew dellavedova,203521
made,21400814,"FEB 20, 2015 - SAS @ GSW",A,L,-11,2,1,451,16.5,2,2.1,14.3,2,"Curry, Stephen",201939,4.0,kawhi leonard,202695
missed,21400797,"FEB 11, 2015 - UTA @ DAL",A,L,-5,6,3,532,1.7,5,4.8,11.6,2,"Barea, Jose Juan",200826,3.9,dante exum,203957
made,21400773,"FEB 08, 2015 - PHX @ SAC",A,L,-2,9,3,274,17.6,0,1.0,23.9,3,"Thompson, Jason",201574,10.3,pj tucker,200782
made,21400104,"NOV 11, 2014 - MEM vs. LAL",H,W,5,8,3,522,9.2,0,1.2,5.0,2,"Bryant, Kobe",977,3.5,tony allen,2754
made,21400531,"JAN 07, 2015 - PHX @ MIN",A,W,2,3,1,25,16.2,0,0.8,23.0,3,"LaVine, Zach",203897,7.4,isaiah thomas,202738
made,21400741,"FEB 04, 2015 - DAL @ GSW",A,L,-14,3,2,707,10.5,0,0.9,24.4,3,"Iguodala, Andre",2738,7.2,charlie villanueva,101111
missed,21400025,"OCT 31, 2014 - POR @ SAC",A,L,-9,1,1,156,13.7,13,11.1,0.5,2,"Collison, Darren",201954,4.0,steve blake,2581
made,21400400,"DEC 21, 2014 - TOR vs. NYK",H,W,10,10,4,662,12.2,11,12.4,2.8,2,"Hardaway Jr., Tim",203501,3.7,greivis vasquez,202349
made,21400286,"DEC 05, 2014 - UTA vs. ORL",H,L,-5,12,4,228,7.8,0,0.9,26.1,3,"Payton, Elfrid",203901,6.6,trey burke,203504
made,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,3,3,100,20.8,0,0.7,3.4,2,"Ross, Terrence",203082,2.2,shaun livingston,2733
made,21400715,"JAN 31, 2015 - GSW vs. PHX",H,W,19,9,4,407,6.3,2,2.2,15.2,2,"Wright, Brandan",201148,3.8,andre iguodala,2738
missed,21400520,"JAN 06, 2015 - PHX @ MIL",A,W,6,5,1,220,3.1,2,2.6,5.2,2,"Pachulia, Zaza",2585,4.1,goran dragic,201609
missed,21400550,"JAN 10, 2015 - LAC vs. DAL",H,W,20,1,4,274,12.9,0,1.0,19.4,2,"Powell, Dwight",203939,5.2,glen davis,201175
made,21400746,"FEB 06, 2015 - NYK @ BKN",A,L,-4,6,2,401,1.8,0,0.9,18.4,2,"Plumlee, Mason",203486,6.8,jason smith,201160
missed,21400519,"JAN 05, 2015 - LAC vs. ATL",H,L,-9,3,2,67,17.1,0,0.5,24.8,3,"Carroll, DeMarre",201960,7.8,jamal crawford,2037
made,21400023,"OCT 31, 2014 - MIL vs. PHI",H,W,12,5,3,4,2.1,0,0.0,1.0,2,"Mbah a Moute, Luc",201601,2.3,john henson,203089
missed,21400272,"DEC 03, 2014 - ORL @ LAC",A,L,-28,2,1,388,12.1,1,2.8,8.0,2,"Jordan, DeAndre",201599,5.1,tobias harris,202699
missed,21400562,"JAN 11, 2015 - POR @ LAL",A,W,12,6,3,392,6.2,0,0.9,24.9,3,"Johnson, Wesley",202325,6.6,wesley matthews,202083
missed,21400140,"NOV 15, 2014 - CHA @ GSW",A,L,-25,5,2,204,2.9,7,9.1,6.9,2,"Thompson, Klay",202691,1.6,gary neal,202390
made,21400109,"NOV 12, 2014 - WAS vs. DET",H,W,4,9,3,358,7.0,0,1.3,5.2,2,"Drummond, Andre",203083,1.3,paul pierce,1718
made,21400806,"FEB 20, 2015 - CHI @ DET",A,L,-9,10,3,380,11.2,0,1.2,5.5,2,"Caldwell-Pope, Kentavious",203484,1.7,jimmy butler,202710
made,21400209,"NOV 25, 2014 - DEN vs. CHI",H,W,5,1,4,569,18.2,2,3.3,0.9,2,"McDermott, Doug",203926,3.1,alonzo gee,202087
made,21400541,"JAN 09, 2015 - NOP vs. MEM",H,W,11,2,2,8,0.0,0,0.0,2.7,2,"Randolph, Zach",2216,1.4,alexis ajinca,201582
made,21400276,"DEC 05, 2014 - CHA vs. NYK",H,W,1,6,3,430,16.9,1,1.4,9.1,2,"Shumpert, Iman",202697,4.4,gerald henderson,201945
missed,21400708,"JAN 31, 2015 - PHI @ ATL",A,L,-6,1,1,587,0.0,0,0.9,6.3,2,"Teague, Jeff",201952,1.9,robert covington,203496
made,21400554,"JAN 10, 2015 - MIL @ CHI",A,L,-8,9,3,610,19.9,4,4.0,17.5,2,"Hinrich, Kirk",2550,3.0,brandon knight,202688
made,21400015,"OCT 29, 2014 - POR vs. OKC",H,W,17,3,2,614,18.4,0,0.9,13.3,2,"Collison, Nick",2555,5.7,chris kaman,2549
made,21400257,"DEC 02, 2014 - CHI vs. DAL",H,L,-3,4,1,390,19.0,0,0.6,2.0,2,"Nelson, Jameer",2749,3.8,jimmy butler,202710
missed,21400131,"NOV 14, 2014 - LAL vs. SAS",H,L,-13,6,3,638,15.3,1,1.3,21.6,2,"Green, Danny",201980,3.2,kobe bryant,977
made,21400256,"DEC 02, 2014 - BKN @ NYK",A,W,5,19,4,235,13.1,0,0.8,21.8,2,"Aldrich, Cole",202332,10.7,brook lopez,201572
missed,21400450,"DEC 27, 2014 - PHI @ UTA",A,L,-17,3,1,513,13.1,12,11.0,5.3,2,"Favors, Derrick",202324,2.4,michael carter-williams,203487
made,21400463,"DEC 29, 2014 - WAS @ HOU",A,W,1,12,3,124,9.7,0,1.1,25.2,3,"Dorsey, Joey",201595,5.2,bradley beal,203078
missed,21400343,"DEC 13, 2014 - ORL vs. ATL",H,W,1,5,1,201,13.3,0,0.7,22.4,3,"Carroll, DeMarre",201960,4.8,tobias harris,202699
missed,21400302,"DEC 08, 2014 - BOS @ WAS",A,L,-1,3,1,59,9.0,2,8.0,12.5,2,"Gortat, Marcin",101162,4.1,brandon bass,101138
missed,21400277,"DEC 05, 2014 - PHI vs. OKC",H,L,-12,6,3,339,15.7,2,2.6,5.8,2,"Westbrook, Russell",201566,1.8,robert covington,203496
missed,21400630,"JAN 21, 2015 - TOR @ MEM",A,L,-6,7,3,247,12.9,0,1.2,4.1,2,"Lee, Courtney",201584,3.5,jonas valanciunas,202685
missed,21400282,"DEC 05, 2014 - SAS @ MEM",A,W,6,1,2,673,9.3,0,0.7,24.3,3,"Carter, Vince",1713,6.6,marco belinelli,201158
missed,21400099,"NOV 10, 2014 - UTA @ IND",A,L,-11,9,3,334,4.7,9,11.1,3.0,2,"Sloan, Donald",202388,0.9,trey burke,203504
missed,21400022,"OCT 31, 2014 - CLE @ CHI",A,W,6,1,2,449,14.4,1,0.9,6.7,2,"Dunleavy, Mike",2399,1.5,shawn marion,1890
made,21400469,"DEC 30, 2014 - NOP vs. PHX",H,W,4,8,1,231,14.8,0,1.0,4.5,2,"Tucker, PJ",200782,4.4,tyreke evans,201936
made,21400879,"MAR 01, 2015 - SAC vs. POR",H,L,-11,8,1,39,16.2,1,1.4,11.1,2,"Afflalo, Arron",201167,1.2,rudy gay,200752
missed,21400177,"NOV 21, 2014 - MIN vs. SAS",H,L,-29,4,2,416,15.2,0,0.6,17.6,2,"Diaw, Boris",2564,3.9,shabazz muhammad,203498
made,21400710,"JAN 31, 2015 - MEM vs. OKC",H,W,11,2,2,440,20.7,3,4.4,3.0,2,"Perkins, Kendrick",2570,1.2,tony allen,2754
made,21400116,"NOV 12, 2014 - BKN @ PHX",A,L,-8,8,4,307,23.6,0,1.0,18.7,2,"Thomas, Isaiah",202738,10.4,deron williams,101114
made,21400699,"JAN 30, 2015 - TOR @ BKN",A,W,5,3,2,341,24.0,0,0.4,0.5,2,"Plumlee, Mason",203486,2.9,amir johnson,101161
made,21400253,"DEC 02, 2014 - CLE vs. MIL",H,W,3,11,4,687,9.0,0,4.3,17.6,2,"Dudley, Jared",201162,4.1,lebron james,2544
missed,21400342,"DEC 13, 2014 - IND vs. POR",H,L,-10,12,3,43,7.3,0,0.9,22.7,3,"Matthews, Wesley",202083,4.5,solomon hill,203524
missed,21400414,"DEC 22, 2014 - LAC @ SAS",A,L,-7,5,2,319,7.0,1,4.2,24.6,3,"Splitter, Tiago",201168,4.9,chris paul,101108
made,21400368,"DEC 16, 2014 - OKC @ SAC",A,W,12,13,3,542,8.0,2,1.7,11.4,2,"McLemore, Ben",203463,2.9,russell westbrook,201566
made,21400045,"NOV 03, 2014 - MEM vs. NOP",H,W,12,8,3,188,16.3,0,0.7,20.4,2,"Davis, Anthony",203076,4.6,marc gasol,201188
made,21400388,"DEC 19, 2014 - MIA vs. WAS",H,L,-2,4,2,660,9.0,1,1.7,2.1,2,"Seraphin, Kevin",202338,0.3,dwayne wade,2548
missed,21400107,"NOV 11, 2014 - POR vs. CHA",H,W,2,13,3,137,17.0,0,0.9,23.1,3,"Hairston, PJ",203798,5.3,wesley matthews,202083
missed,21400255,"DEC 02, 2014 - DET vs. LAL",H,L,-10,3,1,517,20.7,5,4.2,4.6,2,"Lin, Jeremy",202391,1.4,kentavious caldwell-pope,203484
missed,21400550,"JAN 10, 2015 - DAL @ LAC",A,L,-20,3,2,688,17.5,0,0.8,18.5,2,"Jordan, DeAndre",201599,4.9,dirk nowtizski,1717
missed,21400753,"FEB 06, 2015 - MIL @ HOU",A,L,-6,10,4,126,13.5,0,0.7,22.5,3,"Beverley, Patrick",201976,5.4,khris middleton,203114
missed,21400456,"DEC 28, 2014 - NYK @ POR",A,L,-22,5,2,343,15.1,2,3.9,20.7,2,"Matthews, Wesley",202083,5.9,jose calderon,101181
missed,21400609,"JAN 18, 2015 - ORL vs. OKC",H,L,-28,12,3,468,5.0,0,0.8,23.1,3,"Roberson, Andre",203460,7.4,victor oladipo,203506
made,21400740,"FEB 04, 2015 - UTA vs. MEM",H,L,-10,3,1,391,12.5,0,1.1,4.9,2,"Randolph, Zach",2216,1.8,derrick favors,202324
missed,21400843,"FEB 25, 2015 - DAL @ ATL",A,L,-17,1,1,292,14.2,0,0.8,25.6,3,"Millsap, Paul",200794,5.7,charlie villanueva,101111
made,21400672,"JAN 26, 2015 - MIN @ OKC",A,L,-8,16,3,65,6.0,2,7.6,6.5,2,"Collison, Nick",2555,2.1,thaddeus young,201152
made,21400016,"OCT 30, 2014 - WAS @ ORL",A,W,7,5,1,189,20.0,0,1.3,16.1,2,"Harris, Tobias",202699,4.8,garrett temple,202066
missed,21400171,"NOV 20, 2014 - CHI @ SAC",A,L,-15,1,1,693,8.7,0,1.0,24.6,3,"Gay, Rudy",200752,5.5,jimmy butler,202710
made,21400274,"DEC 04, 2014 - POR vs. IND",H,W,6,13,4,435,3.4,0,1.2,26.9,3,"Watson, CJ",201228,3.0,nicolas batum,201587
made,21400883,"MAR 01, 2015 - CLE @ HOU",A,L,-2,5,4,536,12.0,0,0.7,3.5,2,"Brewer, Corey",201147,1.7,tristan thompson,202684
made,21400442,"DEC 26, 2014 - SAC vs. PHX",H,L,-9,13,4,515,15.1,0,0.9,13.6,2,"Plumlee, Miles",203101,9.9,carl landry,201171
made,21400596,"JAN 16, 2015 - PHX vs. MIN",H,W,11,6,1,402,10.5,0,3.0,1.0,2,"Wiggins, Andrew",203952,2.8,goran dragic,201609
missed,21400149,"NOV 17, 2014 - BKN vs. MIA",H,L,-12,3,1,322,1.5,0,0.8,16.9,2,"Cole, Norris",202708,2.8,brook lopez,201572
made,21400571,"JAN 13, 2015 - UTA vs. GSW",H,L,-11,1,1,669,9.0,2,2.1,12.6,2,"Barnes, Harrison",203084,3.0,gordon hayward,202330
missed,21400755,"FEB 06, 2015 - NOP @ OKC",A,W,3,10,3,551,13.5,0,0.0,3.6,2,"Westbrook, Russell",201566,0.0,tyreke evans,201936
missed,21400416,"DEC 23, 2014 - CLE vs. MIN",H,W,21,4,3,612,19.2,0,1.1,2.5,2,"Young, Thaddeus",201152,0.9,shawn marion,1890
missed,21400380,"DEC 18, 2014 - HOU vs. NOP",H,L,-9,16,3,328,13.0,3,3.9,5.2,2,"Asik, Omer",201600,4.3,james harden,201935
made,21400234,"NOV 28, 2014 - MIN @ LAL",A,W,1,12,3,340,11.7,0,0.5,1.6,2,"Lin, Jeremy",202391,2.9,thaddeus young,201152
missed,21400504,"JAN 04, 2015 - DET vs. SAC",H,W,19,5,2,691,7.3,2,4.1,8.5,2,"Thompson, Jason",201574,3.6,andre drummond,203083
made,21400746,"FEB 06, 2015 - BKN vs. NYK",H,W,4,3,1,7,2.5,8,5.7,21.9,2,"Hardaway Jr., Tim",203501,4.2,deron williams,101114
missed,21400652,"JAN 24, 2015 - NYK @ CHA",A,L,-5,2,2,503,5.3,0,0.7,20.6,2,"Kidd-Gilchrist, Michael",203077,4.7,travis wear,204037
missed,21400172,"NOV 21, 2014 - CHA vs. ORL",H,L,-5,2,1,254,12.0,0,0.9,17.4,2,"Oladipo, Victor",203506,9.7,kemba walker,202689
made,21400006,"OCT 29, 2014 - BKN @ BOS",A,L,-16,7,3,381,14.5,1,1.4,18.5,2,"Olynyk, Kelly",203482,4.1,kevin garnett,708
made,21400767,"FEB 08, 2015 - MEM vs. ATL",H,W,6,10,3,704,7.7,0,0.4,1.8,2,"Korver, Kyle",2594,2.6,zach randolph,2216
missed,21400085,"NOV 08, 2014 - MIA vs. MIN",H,W,10,9,4,220,9.0,0,0.7,23.7,3,"Young, Thaddeus",201152,6.9,shawne williams,200761
missed,21400572,"JAN 13, 2015 - SAC vs. DAL",H,L,-4,4,2,588,19.0,0,1.1,25.8,3,"Barea, Jose Juan",200826,10.7,ben mclemore,203463
missed,21400070,"NOV 06, 2014 - DAL @ POR",A,L,-21,4,2,430,10.2,1,3.0,4.7,2,"Robinson, Thomas",203080,1.3,chandler parsons,202718
missed,21400274,"DEC 04, 2014 - POR vs. IND",H,W,6,13,3,434,15.2,1,2.1,18.9,2,"Hibbert, Roy",201579,5.9,lamarcus aldridge,200746
missed,21400452,"DEC 27, 2014 - GSW vs. MIN",H,W,13,16,3,363,21.0,4,8.4,24.8,3,"LaVine, Zach",203897,4.5,stephen curry,201939
made,21400282,"DEC 05, 2014 - MEM vs. SAS",H,L,-6,11,4,549,24.0,0,0.0,14.4,2,"Leonard, Kawhi",202695,10.7,mike conley,201144
made,21400010,"OCT 29, 2014 - CHI @ NYK",A,W,24,7,3,442,17.2,5,5.2,14.0,2,"Shumpert, Iman",202697,7.1,derrick rose,201565
missed,21400655,"JAN 24, 2015 - BKN @ UTA",A,L,-35,6,3,260,1.7,2,2.7,15.2,2,"Favors, Derrick",202324,3.4,brook lopez,201572
made,21400257,"DEC 02, 2014 - DAL @ CHI",A,W,3,16,3,349,15.7,2,2.0,18.7,2,"Butler, Jimmy",202710,2.8,mnta ellis,101145
missed,21400477,"DEC 31, 2014 - NYK @ LAC",A,L,-21,3,2,583,12.0,0,1.1,25.8,3,"Crawford, Jamal",2037,6.3,pablo prigioni,203143
made,21400772,"FEB 08, 2015 - TOR vs. SAS",H,W,5,2,1,341,13.7,1,1.8,2.8,2,"Ginobili, Manu",1938,3.9,james johnson,201949
missed,21400339,"DEC 12, 2014 - LAL @ SAS",A,W,2,5,2,58,0.0,0,0.7,5.0,2,"Duncan, Tim",1495,0.8,wesley johnson,202325
made,21400373,"DEC 17, 2014 - MIA vs. UTA",H,L,-18,9,4,624,18.3,1,3.2,5.9,2,"Exum, Dante",203957,1.3,mario chalmers,201596
made,21400501,"JAN 03, 2015 - POR vs. ATL",H,L,-8,11,4,175,19.7,6,5.4,4.5,2,"Horford, Al",201143,1.1,wesley matthews,202083
made,21400472,"DEC 30, 2014 - UTA vs. MIN",H,W,6,8,3,472,13.8,0,0.8,20.3,2,"Wiggins, Andrew",203952,5.8,gordon hayward,202330
made,21400787,"FEB 10, 2015 - LAL vs. DEN",H,L,-10,1,1,682,0.0,8,7.1,17.3,2,"Afflalo, Arron",201167,3.5,wayne ellington,201961
missed,21400398,"DEC 20, 2014 - DEN vs. IND",H,W,3,8,4,238,23.3,0,1.4,6.3,2,"West, David",2561,2.5,kenneth faried,202702
missed,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,2,1,274,24.0,0,0.2,1.3,2,"Turner, Evan",202323,2.2,andrew bogut,101106
missed,21400329,"DEC 12, 2014 - WAS vs. LAC",H,W,8,2,2,633,5.1,4,4.7,10.9,2,"Jordan, DeAndre",201599,2.5,kevin seraphin,202338
made,21400258,"DEC 02, 2014 - NOP vs. OKC",H,W,8,5,1,349,9.7,0,1.0,19.4,2,"Ibaka, Serge",201586,6.5,anthony davis,203076
missed,21400325,"DEC 10, 2014 - MIA @ DEN",A,L,-20,7,3,37,13.4,0,0.7,22.6,3,"Faried, Kenneth",202702,6.4,shawne williams,200761
made,21400491,"JAN 02, 2015 - PHX vs. PHI",H,W,16,14,4,191,15.8,0,0.9,24.3,3,"Carter-Williams, Michael",203487,8.5,eric bledsoe,202339
missed,21400197,"NOV 23, 2014 - DEN @ LAL",A,W,7,2,2,558,6.6,0,1.0,24.8,3,"Johnson, Wesley",202325,9.8,darrell arthur,201589
made,21400594,"JAN 16, 2015 - DEN @ DAL",A,L,-8,4,2,286,24.0,0,0.0,2.3,2,"Aminu, Al-Farouq",202329,1.1,kenneth faried,202702
made,21400791,"FEB 11, 2015 - WAS @ TOR",A,L,-2,9,3,601,16.6,0,1.3,18.7,2,"Valanciunas, Jonas",202685,5.7,john wall,202322
made,21400110,"NOV 12, 2014 - ATL vs. UTA",H,W,3,5,3,289,6.7,0,1.1,18.3,2,"Favors, Derrick",202324,7.1,al horford,201143
missed,21400623,"JAN 20, 2015 - MIA vs. OKC",H,L,-8,9,3,526,13.2,0,0.7,24.0,3,"Ibaka, Serge",201586,7.9,chris bosh,2547
made,21400226,"NOV 28, 2014 - MIL @ DET",A,W,16,2,1,362,14.0,14,10.2,18.8,2,"Drummond, Andre",203083,5.6,brandon knight,202688
missed,21400521,"JAN 06, 2015 - SAS vs. DET",H,L,-1,4,3,369,10.0,2,1.9,7.0,2,"Drummond, Andre",203083,2.8,cory joseph,202709
missed,21400729,"FEB 03, 2015 - POR vs. UTA",H,W,1,16,4,44,8.9,15,14.2,24.8,3,"Burke, Trey",203504,4.0,damian lillard,203081
made,21400633,"JAN 21, 2015 - WAS vs. OKC",H,L,-2,14,5,23,11.8,0,1.0,4.7,2,"Waiters, Dion",203079,0.7,nene hilario,2403
missed,21400437,"DEC 26, 2014 - NOP vs. SAS",H,W,7,13,3,235,11.3,4,4.0,19.9,2,"Joseph, Cory",202709,5.0,jrue holiday,201950
missed,21400622,"JAN 19, 2015 - PHX vs. LAL",H,W,15,13,4,522,18.5,2,3.2,16.2,2,"Young, Nick",201156,2.7,goran dragic,201609
made,21400109,"NOV 12, 2014 - WAS vs. DET",H,W,4,6,3,654,14.5,4,4.0,7.9,2,"Drummond, Andre",203083,2.8,marcin gortat,101162
missed,21400761,"FEB 07, 2015 - CHA @ PHI",A,L,-8,4,4,452,11.3,2,2.0,3.8,2,"Noel, Nerlens",203457,1.3,cody zeller,203469
made,21400748,"FEB 06, 2015 - ORL vs. LAL",H,W,6,7,3,67,9.8,0,0.8,2.2,2,"Young, Nick",201156,2.7,victor oladipo,203506
missed,21400064,"NOV 05, 2014 - ATL @ SAS",A,L,-2,10,4,26,19.0,2,2.0,5.2,2,"Duncan, Tim",1495,0.6,kyle korver,2594
made,21400507,"JAN 04, 2015 - TOR @ PHX",A,L,-16,7,3,494,17.2,2,1.8,4.8,2,"Plumlee, Miles",203101,3.2,terrence ross,203082
missed,21400071,"NOV 07, 2014 - ATL @ CHA",A,L,-3,9,4,609,9.1,1,2.0,4.2,2,"Maxiell, Jason",101131,0.8,al horford,201143
made,21400079,"NOV 07, 2014 - PHX vs. SAC",H,L,-2,2,1,496,13.1,0,5.0,3.3,2,"Cousins, DeMarcus",202326,3.3,marcus morris,202694
made,21400697,"JAN 30, 2015 - POR @ ATL",A,L,-6,1,1,1,0.0,1,1.7,22.9,3,"Korver, Kyle",2594,4.2,steve blake,2581
made,21400427,"DEC 25, 2014 - NYK vs. WAS",H,L,-11,10,3,277,13.0,14,10.1,16.8,2,"Wall, John",202322,5.4,jose calderon,101181
made,21400612,"JAN 19, 2015 - WAS vs. PHI",H,W,35,2,2,556,12.3,0,2.4,16.8,2,"Noel, Nerlens",203457,5.9,kevin seraphin,202338
missed,21400583,"JAN 14, 2015 - LAC @ POR",A,W,6,12,3,184,15.0,1,1.4,23.3,3,"McCollum, CJ",203468,7.6,jj redick,200755
made,21400875,"FEB 28, 2015 - PHX vs. SAS",H,L,-27,2,1,434,8.6,9,8.2,2.9,2,"Splitter, Tiago",201168,2.6,eric bledsoe,202339
missed,21400112,"NOV 12, 2014 - MIA vs. IND",H,L,-6,6,4,502,17.9,0,0.8,26.2,3,"Copeland, Chris",203142,6.0,mario chalmers,201596
missed,21400816,"FEB 21, 2015 - OKC @ CHA",A,W,7,6,1,60,15.0,0,2.6,17.2,2,"Williams, Marvin",101107,4.8,serge ibaka,201586
missed,21400417,"DEC 23, 2014 - NOP @ IND",A,L,-12,11,4,639,18.9,5,5.5,9.2,2,"Hill, George",201588,1.9,tyreke evans,201936
missed,21400122,"NOV 14, 2014 - IND vs. DEN",H,L,-21,2,1,8,4.5,2,4.7,19.6,2,"Arthur, Darrell",201589,4.4,cj miles,101139
made,21400637,"JAN 22, 2015 - CHI vs. SAS",H,W,23,11,4,651,8.8,0,1.2,0.6,2,"Joseph, Cory",202709,4.3,taj gibson,201959
made,21400181,"NOV 21, 2014 - NOP @ DEN",A,L,-20,3,2,43,21.5,2,2.8,23.9,3,"Afflalo, Arron",201167,5.4,jrue holiday,201950
missed,21400428,"DEC 25, 2014 - OKC @ SAS",A,W,8,1,1,100,10.0,1,1.6,8.8,2,"Belinelli, Marco",201158,1.6,anthony morrow,201627
missed,21400726,"FEB 03, 2015 - DEN @ PHI",A,L,-7,8,2,369,17.2,0,1.1,25.2,3,"Sampson, JaKarr",203960,18.8,wilson chandler,201163
