SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
-1,-1,1,8,1,16.1,0,0.0,4.3,2,1.2,177
1,-1,1,9,9,7.4,0,0.8,25.1,3,4.9,1934
1,-1,1,8,4,24.0,0,0.3,1.1,2,2.6,2751
-1,1,1,5,3,21.8,0,0.9,24.8,3,4.6,977
1,-1,-1,-7,2,12.4,2,2.5,9.3,2,1.2,1429
-1,1,1,20,17,4.0,9,9.5,4.8,2,2.3,1618
-1,1,-1,-18,3,3.9,3,1.8,17.7,2,0.4,1180
1,1,-1,-20,1,24.0,0,0.0,2.3,2,1.5,430
-1,-1,-1,-11,10,16.5,2,3.6,17.8,2,1.9,1767
-1,1,1,23,3,10.5,0,0.7,23.2,3,6.8,2228
-1,-1,1,2,6,8.3,2,4.3,6.6,2,1.8,1120
-1,-1,-1,-21,8,10.6,0,1.4,19.3,2,4.5,1800
-1,1,1,7,18,14.3,9,8.7,5.9,2,2.6,2244
-1,-1,-1,-4,16,11.8,4,3.4,22.3,2,4.5,1555
1,1,1,18,4,10.0,0,0.7,22.9,3,5.8,339
-1,1,-1,-8,17,20.3,3,4.5,4.0,2,3.0,1901
-1,1,-1,-17,4,14.8,0,1.0,17.5,2,4.2,1052
-1,1,-1,-18,8,17.7,0,0.8,24.5,3,4.3,1710
-1,-1,-1,-3,4,22.2,0,0.9,25.2,3,7.8,836
1,1,1,11,1,10.6,0,0.9,24.1,3,6.4,17
-1,-1,-1,-3,4,13.7,0,3.6,22.6,3,7.0,2459
-1,1,1,13,2,17.3,6,5.8,25.6,3,4.9,259
1,-1,-1,-2,11,15.2,0,0.7,2.4,2,3.7,2017
1,-1,-1,-10,1,0.0,8,7.1,17.3,2,3.5,682
1,-1,1,2,10,10.1,14,13.3,8.5,2,1.7,2592
1,1,1,6,15,20.9,2,3.5,23.4,3,2.5,2818
1,-1,1,17,17,10.6,13,12.4,1.9,2,0.6,2367
1,-1,-1,-2,5,14.3,0,0.6,1.3,2,3.7,2496
-1,-1,-1,-3,4,14.5,9,9.8,13.9,2,4.4,1003
1,-1,1,16,4,9.3,0,0.9,10.1,2,3.3,1385
1,-1,1,17,6,13.0,1,3.1,15.9,2,4.3,2477
-1,-1,-1,-17,2,0.0,0,1.1,2.8,2,1.8,172
-1,1,-1,-27,2,18.6,0,1.0,24.0,3,5.0,508
1,1,-1,-4,2,4.5,0,0.9,22.9,2,5.0,356
-1,1,-1,-12,6,0.6,4,4.1,7.9,2,4.9,986
1,1,1,11,8,15.7,9,7.4,2.6,2,5.4,748
-1,-1,1,11,3,7.0,0,0.9,26.3,3,13.2,1296
1,-1,-1,-25,3,11.5,13,10.7,5.8,2,2.3,356
1,1,1,15,1,0.0,0,1.1,4.1,2,9.4,580
-1,1,-1,-15,10,15.9,4,3.3,11.9,2,2.6,2495
-1,1,-1,-4,7,15.8,0,0.9,3.6,2,2.6,110
-1,1,-1,-6,3,6.9,0,0.6,2.0,2,2.9,1017
1,1,1,6,4,13.8,0,1.0,2.3,2,2.2,1245
-1,-1,-1,-16,5,4.1,2,2.0,5.2,2,2.0,1879
1,-1,-1,-5,1,15.8,0,1.1,4.2,2,1.7,594
-1,-1,-1,-2,6,7.3,0,2.5,22.8,3,4.3,858
1,-1,1,14,9,20.2,1,1.8,1.6,2,35.6,2097
1,-1,1,11,4,16.0,0,0.4,1.2,2,1.8,959
1,1,1,5,19,24.0,0,1.8,2.7,2,2.6,2640
-1,-1,-1,-12,1,0.0,0,0.6,23.9,3,4.3,1440
-1,1,-1,-3,6,4.0,4,3.1,18.1,2,9.7,2506
-1,-1,1,23,9,15.4,1,3.0,9.3,2,3.9,1508
-1,1,-1,-7,5,0.0,1,1.5,5.6,2,3.0,1023
-1,-1,1,17,7,0.6,4,7.6,15.8,2,4.0,767
1,-1,1,5,4,13.6,12,9.5,4.3,2,5.4,2828
1,-1,-1,-10,2,10.6,0,0.8,24.1,3,6.0,539
-1,-1,-1,-6,13,2.9,2,4.0,19.7,2,5.0,2527
1,1,-1,-4,15,16.0,0,0.7,0.5,2,5.3,2754
-1,-1,-1,-25,8,0.0,1,1.6,1.6,2,1.5,723
-1,1,-1,-16,8,10.2,2,1.8,8.9,2,1.5,1989
-1,-1,1,15,2,20.1,1,2.0,2.1,2,4.9,543
-1,-1,-1,-4,1,16.8,0,1.0,19.8,2,5.3,599
-1,1,-1,-1,5,9.2,0,0.8,17.8,2,6.7,1689
-1,1,1,18,1,14.7,0,0.8,24.4,3,5.6,654
-1,-1,1,13,5,7.4,1,4.9,7.5,2,2.1,829
-1,1,1,25,1,7.4,1,1.8,16.3,2,3.4,1258
-1,1,-1,-5,16,19.9,1,1.5,6.3,2,3.5,2593
1,-1,-1,-17,1,10.6,1,1.4,17.8,2,6.4,706
1,1,-1,-21,4,16.0,8,7.9,23.2,2,4.5,211
-1,-1,1,6,5,7.3,2,3.0,6.4,2,1.0,3072
-1,-1,-1,-7,11,14.0,8,7.3,24.8,3,3.9,2582
1,1,-1,-13,3,18.0,6,5.9,2.2,2,2.4,210
1,1,1,8,2,1.6,2,3.1,8.5,2,3.4,1381
-1,1,-1,-10,2,17.3,0,1.0,26.7,3,8.2,1057
1,1,-1,-6,8,2.0,0,0.9,14.4,2,2.2,876
