SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
1,1,1,4,9,9.0,2,2.4,2.9,2,2.1,1972
0,1,-1,-9,14,18.0,6,7.1,3.4,2,0.5,2476
1,-1,-1,-18,3,6.9,0,0.7,16.3,2,4.9,1013
1,-1,1,7,10,2.0,5,4.4,5.6,2,5.1,2651
0,-1,-1,-5,1,0.0,0,1.5,7.4,2,2.4,693
0,-1,-1,-5,8,12.9,0,1.0,24.5,3,6.8,2834
0,-1,1,5,17,11.9,1,2.9,12.3,2,2.8,1627
0,1,-1,-27,3,11.1,0,1.0,21.2,3,1.9,1290
0,1,1,5,1,10.6,16,11.6,6.3,2,1.1,56
1,1,1,14,3,10.7,16,13.9,4.3,2,1.9,949
0,1,-1,-9,9,2.9,6,5.3,5.1,2,1.7,735
0,1,-1,-16,1,16.0,12,8.1,14.5,2,3.0,27
0,-1,1,13,6,8.0,2,2.0,25.2,3,4.4,2832
1,-1,1,20,10,20.9,0,0.3,4.1,2,4.1,2301
0,-1,1,16,1,14.7,0,0.9,25.8,3,7.7,142
0,1,1,22,6,9.1,2,1.9,11.0,2,4.6,1339
0,-1,1,5,2,10.0,0,1.2,1.8,2,2.1,1035
1,1,-1,-4,3,13.6,0,0.9,25.3,3,3.3,997
0,-1,-1,-5,17,15.7,0,1.1,21.0,2,13.8,1721
0,-1,1,6,8,11.2,0,2.0,24.4,3,7.2,2737
0,1,-1,-2,8,11.5,0,0.9,26.2,3,6.3,2999
0,-1,-1,-26,6,9.0,4,5.5,23.8,3,5.0,1277
0,-1,-1,-12,7,24.0,0,0.0,2.1,2,0.1,828
0,-1,-1,-2,3,6.2,0,1.0,26.0,3,2.9,262
1,1,1,14,12,12.7,0,0.7,19.1,2,7.5,2020
1,-1,1,9,1,11.3,7,5.5,4.8,2,8.3,493
0,-1,1,27,6,13.9,4,2.5,10.1,2,2.8,2648
0,-1,-1,-11,4,13.6,1,2.7,2.1,2,2.0,2350
0,-1,-1,-1,7,3.0,1,1.8,7.6,2,1.1,1579
1,-1,1,16,5,19.7,0,1.0,23.5,3,15.9,1525
0,1,1,2,19,10.2,14,13.0,18.9,2,4.1,1651
0,1,-1,-5,5,0.0,0,0.7,22.7,3,6.9,2177
1,-1,1,16,26,9.5,1,3.2,17.2,2,4.4,2390
0,1,-1,-8,5,10.0,0,0.8,24.9,3,4.1,192
1,1,-1,-2,4,18.7,0,0.6,6.1,2,3.4,497
1,-1,-1,-8,7,24.0,0,0.0,2.8,2,0.9,1817
1,1,-1,-11,13,17.1,2,4.2,17.3,2,3.9,1706
1,-1,1,22,6,22.4,0,1.0,23.7,3,6.0,1837
1,-1,1,28,9,12.0,1,3.4,14.6,2,3.0,901
0,-1,1,5,24,3.8,1,2.0,8.7,2,1.8,2261
0,1,-1,-4,11,16.4,6,7.7,4.8,2,2.2,1843
0,-1,-1,-7,2,11.4,2,2.2,13.5,2,2.5,1255
1,-1,1,11,8,6.9,5,9.1,4.6,2,0.5,2863
0,-1,1,25,7,14.8,0,0.9,21.1,2,6.3,2755
0,1,-1,-17,6,20.9,3,3.5,13.6,2,3.2,288
0,1,-1,-25,4,6.0,4,4.4,12.5,2,3.6,2296
1,1,-1,-7,8,18.0,0,0.9,25.2,3,5.1,1774
0,1,1,3,10,14.3,12,10.0,18.3,2,4.7,912
0,1,1,10,5,10.6,1,1.4,5.7,2,2.3,842
1,1,1,15,10,18.9,3,3.8,3.0,2,3.6,1636
0,1,1,18,16,5.6,2,5.9,15.6,2,3.5,2492
1,-1,1,6,6,6.6,0,0.6,2.2,2,1.4,1015
0,-1,1,8,8,12.6,0,0.6,24.8,3,5.7,2825
0,-1,-1,-5,2,13.5,13,10.5,20.7,2,5.2,34
0,1,-1,-7,6,19.6,1,2.4,7.3,2,1.0,1393
0,1,-1,-32,2,10.8,0,0.7,13.4,2,4.1,643
0,-1,1,9,3,8.1,0,0.9,6.6,2,2.8,2123
1,1,1,11,7,11.4,0,0.6,2.3,2,3.1,943
1,-1,-1,-24,4,10.0,2,3.6,5.2,2,2.3,1827
1,1,-1,-10,11,20.3,4,3.9,19.0,2,5.8,1952
1,-1,1,6,11,12.9,6,5.8,3.9,2,0.6,1959
0,-1,1,9,2,14.0,0,0.9,23.0,3,18.5,472
1,1,-1,-26,6,12.3,0,0.8,8.6,2,4.5,2721
1,-1,-1,-4,1,17.6,0,1.9,7.0,2,5.0,656
0,1,-1,-3,7,12.9,0,0.8,19.6,2,10.2,962
0,-1,-1,-9,2,14.1,1,1.4,3.3,2,0.9,489
0,1,-1,-7,2,19.0,0,0.8,24.2,3,5.2,60
1,1,1,4,8,14.3,0,1.0,1.5,2,1.9,2003
1,1,1,28,10,5.7,3,2.6,9.1,2,2.2,1655
1,1,-1,-5,15,0.0,3,2.2,27.4,3,5.3,3621
1,-1,1,10,7,14.5,0,0.9,17.9,2,3.0,2133
1,-1,-1,-6,4,16.3,0,0.1,1.9,2,2.1,201
0,1,1,13,3,7.7,5,4.2,11.1,2,1.2,1250
0,-1,1,16,4,9.7,0,1.1,24.9,3,5.2,1460
