SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
-1,1,-1,-19,2,21.1,2,2.0,15.1,2,3.2,418
-1,-1,1,7,17,4.3,4,4.8,9.4,2,2.8,2640
-1,1,-1,-2,2,4.7,0,0.0,2.0,2,2.1,15
1,-1,-1,-2,3,10.6,1,2.8,21.1,2,4.2,1158
-1,-1,-1,-29,8,14.9,11,8.6,8.3,2,2.1,2750
-1,-1,-1,-4,1,7.5,1,1.1,17.1,2,8.2,663
1,-1,-1,-3,1,9.4,0,0.7,25.3,3,4.2,661
1,1,-1,-2,4,14.9,0,3.4,16.8,2,5.3,348
-1,-1,1,3,9,0.3,1,1.4,2.4,2,1.9,1816
1,1,1,4,8,3.4,0,1.1,23.2,3,7.4,1470
-1,-1,1,13,12,12.1,0,0.9,22.4,3,13.6,2720
1,-1,1,15,10,1.8,0,0.9,24.2,3,6.6,943
-1,1,-1,-2,6,18.0,7,6.1,16.0,2,2.6,33
1,1,-1,-10,5,7.0,3,2.7,3.3,2,2.0,2372
-1,-1,1,7,5,12.9,3,3.3,7.9,2,0.7,380
-1,-1,1,9,3,2.0,6,6.7,9.6,2,2.0,1565
-1,-1,1,9,7,6.2,0,1.5,14.6,2,4.0,2356
-1,-1,-1,-15,8,20.0,1,0.9,19.9,2,5.1,2859
1,1,-1,-23,4,7.0,3,1.4,11.0,2,3.7,365
1,1,1,11,10,5.0,0,1.5,3.3,2,1.6,2655
-1,1,1,6,11,12.8,0,0.8,20.0,2,7.0,1861
-1,-1,1,18,4,16.5,1,1.8,21.2,2,3.8,2577
-1,-1,1,3,14,11.1,0,0.8,26.8,3,7.5,3823
-1,-1,1,6,6,11.8,0,0.9,19.4,2,7.9,1919
-1,1,1,18,4,10.2,0,2.2,12.8,2,2.9,379
-1,-1,1,6,1,8.2,0,1.0,21.2,3,4.9,190
1,-1,-1,-17,3,13.4,2,2.6,7.3,2,3.3,1949
-1,1,-1,-10,4,17.1,9,6.1,10.9,2,3.4,2855
1,-1,1,36,12,10.2,0,1.0,7.3,2,2.0,2091
-1,-1,-1,-16,2,7.8,1,1.8,21.9,2,2.8,648
-1,1,-1,-1,2,12.7,0,0.8,27.1,3,5.3,165
1,1,-1,-4,8,21.4,5,3.4,2.4,2,2.0,841
1,-1,1,15,9,10.9,1,2.0,19.8,2,5.9,1833
1,1,-1,-7,5,23.2,1,1.4,4.4,2,1.4,1489
1,1,1,7,6,14.8,11,8.8,18.0,2,4.7,1625
1,-1,1,8,5,11.1,0,0.7,23.6,3,6.3,1009
1,1,1,10,18,12.0,0,0.8,24.8,3,6.4,2386
-1,1,1,11,1,5.9,0,1.7,24.8,3,4.9,556
-1,-1,1,28,3,13.0,0,0.0,1.5,2,3.9,229
-1,1,1,15,3,14.4,1,1.7,6.1,2,2.3,1290
1,1,1,25,1,9.8,0,1.1,1.9,2,0.6,1426
-1,1,1,3,3,15.0,0,0.7,20.3,2,3.7,161
-1,-1,-1,-6,2,9.0,2,2.4,3.3,2,2.9,120
-1,-1,1,7,8,12.0,2,2.1,3.6,2,0.2,1048
-1,-1,-1,-7,6,10.5,0,1.0,20.1,2,4.4,931
-1,-1,1,8,10,3.0,0,0.9,19.7,2,3.4,2139
-1,1,-1,-4,9,15.5,0,0.4,1.7,2,0.3,873
1,-1,1,25,6,10.0,5,3.6,6.8,2,2.6,1474
-1,-1,1,25,7,18.1,0,1.3,18.0,2,5.3,2087
1,-1,1,23,2,5.7,2,2.4,8.6,2,4.0,496
1,-1,1,14,5,5.0,2,3.1,23.8,3,4.0,2647
-1,1,-1,-12,5,14.7,7,8.9,9.3,2,4.5,1240
-1,1,1,16,8,0.0,0,0.7,20.3,3,2.6,1477
-1,1,1,7,12,16.9,9,8.1,6.2,2,2.2,1780
1,1,1,4,2,23.4,0,2.1,2.2,2,2.3,1245
1,-1,-1,-4,18,24.0,0,1.2,0.7,2,0.0,2857
1,1,1,8,14,12.9,14,11.8,1.2,2,2.1,2857
1,1,1,8,12,10.0,7,6.7,8.5,2,1.6,1628
-1,-1,-1,-14,6,16.3,0,0.9,25.2,3,5.3,2586
-1,1,1,6,9,2.1,1,2.2,21.7,2,5.3,857
1,-1,1,17,12,14.7,10,7.7,4.5,2,4.5,1694
1,1,-1,-11,2,7.4,0,1.5,13.2,2,3.8,1406
1,1,1,10,13,10.6,0,0.8,24.8,3,6.8,1724
-1,1,-1,-4,1,6.5,0,0.9,18.0,2,4.6,269
-1,1,-1,-25,14,14.7,9,8.4,4.9,2,1.8,1665
-1,-1,1,9,14,9.0,3,2.8,22.6,3,4.0,2309
-1,1,-1,-7,5,15.3,2,2.4,7.9,2,3.0,1998
-1,1,-1,-16,7,8.4,1,1.5,23.8,2,4.2,2218
-1,-1,-1,-19,4,19.6,6,5.0,9.0,2,4.1,2768
1,1,-1,-11,5,16.0,2,2.4,10.0,2,3.4,1025
-1,-1,1,6,18,14.0,4,4.5,16.2,2,4.0,2383
1,-1,-1,-10,13,10.0,0,1.0,1.1,2,8.3,1957
1,1,1,10,3,20.0,5,3.6,18.4,2,7.7,314
-1,-1,1,10,12,4.5,2,3.6,9.0,2,5.3,1171
-1,-1,1,4,6,15.6,0,1.2,3.4,2,0.9,2117
-1,-1,-1,-5,2,3.9,0,1.6,19.1,2,4.4,239
-1,-1,-1,-2,4,0.0,6,5.6,25.2,3,4.2,2166
1,1,1,5,4,8.8,1,1.1,9.3,2,5.4,1279
1,-1,-1,-11,12,18.0,6,5.3,9.7,2,2.7,2242
1,-1,1,7,10,17.3,8,7.1,14.4,2,8.1,830
-1,-1,-1,-2,2,9.0,0,0.8,18.5,2,6.4,332
-1,1,-1,-27,5,7.4,2,2.2,6.8,2,2.6,1148
-1,-1,1,8,1,14.8,9,9.3,25.5,3,5.1,1328
-1,-1,1,17,3,16.9,9,6.8,13.1,2,2.7,1624
-1,-1,1,9,4,11.5,3,5.5,16.9,2,5.3,1328
1,1,-1,-9,7,19.0,3,3.6,4.3,2,1.9,1560
-1,-1,1,31,1,23.8,0,1.0,5.5,2,1.7,371
1,-1,-1,-22,4,18.2,0,0.6,2.0,2,3.4,100
-1,-1,-1,-5,15,7.8,0,0.7,22.7,3,3.2,2201
-1,1,-1,-13,4,14.3,0,1.1,11.1,2,3.3,1250
-1,-1,-1,-3,2,21.8,0,0.9,7.3,2,1.0,328
-1,1,-1,-9,17,21.0,0,0.4,1.1,2,2.7,2252
-1,-1,-1,-6,11,0.0,0,1.6,25.2,3,4.2,730
-1,1,-1,-8,5,0.0,0,1.7,3.1,2,3.5,1447
1,-1,1,30,6,10.0,5,5.0,6.0,2,2.3,1021
1,-1,1,2,3,2.1,24,22.4,10.1,2,3.4,8
1,1,-1,-4,4,5.0,0,1.0,2.3,2,3.2,1544
-1,1,-1,-13,5,22.1,0,0.7,26.1,3,4.3,2602
1,-1,-1,-8,2,6.7,0,0.9,25.4,3,4.4,1258
-1,1,1,2,3,21.0,0,0.7,3.8,2,2.7,336
1,-1,-1,-14,9,16.7,0,1.0,3.1,2,4.9,2768
1,-1,-1,-6,4,0.0,9,6.7,6.2,2,1.2,2663
1,1,1,15,5,22.0,0,2.3,8.3,2,1.3,1541
1,-1,1,17,3,0.0,1,2.2,12.1,2,2.5,1295
-1,1,1,8,17,16.3,1,1.4,21.9,2,4.3,2006
-1,-1,-1,-2,3,14.7,0,0.9,24.0,3,9.5,2771
1,-1,-1,-8,1,11.4,4,4.6,11.9,2,3.1,661
1,-1,-1,-15,2,17.3,0,0.7,7.4,2,1.5,903
-1,-1,1,2,4,5.9,1,2.5,15.2,2,0.6,1126
1,-1,1,9,1,18.4,0,0.4,2.9,2,7.1,694
1,-1,-1,-17,4,24.0,0,0.2,1.2,2,2.2,409
1,-1,1,25,5,9.0,1,3.6,4.1,2,2.1,302
-1,-1,1,30,3,12.7,0,1.1,20.4,2,7.0,225
-1,1,-1,-14,16,6.9,7,5.6,24.3,3,4.9,2706
1,-1,1,6,6,9.6,0,0.2,2.4,2,4.5,1627
-1,-1,1,18,5,19.7,0,0.8,18.6,2,7.2,966
1,-1,1,1,12,19.0,0,1.7,3.5,2,2.8,1646
1,-1,-1,-12,1,13.2,0,0.9,23.8,3,4.7,483
1,1,1,18,1,18.3,2,2.4,26.6,3,3.4,1324
-1,-1,-1,-8,12,1.6,3,6.7,28.9,3,4.0,2679
1,1,-1,-21,2,5.0,0,0.8,4.7,2,0.1,882
1,1,1,26,6,3.1,3,2.9,18.4,2,3.7,2041
-1,-1,1,25,11,4.7,0,0.8,23.9,3,7.3,1557
1,1,-1,-27,17,16.0,0,0.0,10.1,2,2.9,2473
-1,-1,1,2,7,9.5,2,5.0,8.8,2,1.9,1737
1,1,-1,-3,2,15.5,0,0.9,21.5,2,6.2,451
1,1,1,9,7,5.7,4,5.8,15.5,2,2.9,1515
1,1,-1,-33,5,0.0,0,0.6,12.0,2,6.0,1444
-1,-1,1,15,3,15.2,0,0.1,15.9,2,6.6,1208
1,-1,1,7,4,17.3,0,1.0,24.1,3,10.0,1967
1,1,-1,-7,10,5.1,3,4.7,9.0,2,0.1,1711
-1,-1,1,7,3,20.2,0,1.0,22.8,3,7.4,1111
-1,-1,1,7,3,14.1,0,0.9,9.3,2,2.4,2639
-1,1,-1,-14,7,16.4,0,0.8,25.1,3,4.9,1926
1,1,1,13,1,9.6,0,1.0,25.4,3,6.0,69
-1,1,1,1,10,7.2,4,8.0,4.5,2,1.1,2060
1,-1,1,21,13,14.9,2,2.4,5.7,2,4.1,1854
-1,1,-1,-19,6,17.9,6,5.8,5.8,2,0.4,150
-1,-1,-1,-6,4,24.0,0,0.3,2.6,2,0.8,328
1,-1,-1,-2,1,21.7,1,2.9,24.4,3,14.3,497
1,-1,-1,-5,3,3.9,4,3.2,12.5,2,3.6,564
1,-1,1,3,4,13.8,0,0.8,19.6,2,9.0,1322
-1,1,-1,-2,4,15.7,0,1.1,24.9,3,5.9,389
-1,1,1,8,10,17.0,0,1.1,22.8,3,6.7,1080
-1,-1,1,8,3,12.5,3,3.0,4.9,2,1.9,52
1,-1,-1,-4,6,6.0,4,3.0,18.0,2,4.3,1192
1,-1,-1,-6,14,16.0,1,1.5,5.2,2,2.0,2708
1,1,-1,-32,3,7.5,1,2.1,4.9,2,1.5,508
-1,-1,1,11,3,6.8,2,3.0,16.4,2,4.5,1202
1,1,-1,-10,7,18.5,1,1.7,9.2,2,3.1,2039
1,1,-1,-5,2,23.3,0,1.4,6.2,2,3.0,579
-1,-1,1,3,9,11.6,2,1.9,5.5,2,2.9,1825
-1,1,-1,-7,20,17.3,6,4.8,27.1,3,4.9,2188
-1,1,-1,-7,16,0.0,0,0.7,24.3,3,5.6,1440
-1,-1,-1,-10,18,7.5,4,5.5,25.3,3,8.8,2296
1,1,1,2,1,10.1,1,2.1,14.7,2,6.6,1284
1,1,-1,-1,11,7.1,1,2.3,17.4,2,5.0,1936
-1,1,-1,-8,7,21.3,3,3.6,3.0,2,1.5,1832
1,-1,1,8,7,9.9,3,2.7,19.0,2,2.2,2727
1,-1,1,8,2,11.0,1,2.1,1.4,2,1.2,1244
1,1,1,6,6,9.7,4,6.7,4.3,2,0.0,2706
-1,1,1,11,10,8.0,0,6.7,23.6,3,5.3,1703
1,1,-1,-6,2,14.4,0,0.9,4.0,2,0.4,534
-1,-1,1,5,3,2.2,2,2.4,9.5,2,2.1,499
1,1,-1,-16,2,12.0,0,0.9,2.7,2,2.3,94
-1,1,1,6,15,19.1,0,0.8,26.6,3,2.5,2500
-1,-1,-1,-3,19,16.5,0,0.8,16.9,2,5.8,3073
-1,-1,1,7,16,7.7,17,15.7,20.6,2,3.1,2453
